largo_str1,largo_str2,tiempo_microsegundos,distancia_edicion
8,8,8764,27
5,5,203,29
8,8,3579,70
10,10,223044,70
10,10,684819,85
6,6,873,67
8,8,6110,56
8,8,19670,59
10,10,713997,77
8,8,12041,69
6,6,494,41
8,8,8530,40
10,10,718851,84
10,10,831901,71
6,6,413,31
5,5,209,35
8,8,16162,65
5,5,219,45
7,7,1246,65
7,7,1382,33
7,7,1244,55
9,9,62958,73
7,7,730,50
8,8,30266,74
9,9,4569,67
5,5,132,40
8,8,15475,69
7,7,736,35
9,9,69885,87
9,9,4183,60
7,7,3504,66
5,5,137,32
8,8,17838,61
6,6,210,49
9,9,24386,79
7,7,706,34
10,10,24231,81
9,9,88241,85
5,5,96,32
10,10,712234,86
