largo_str1,largo_str2,tiempo_microsegundos,distancia_edicion
6,6,12,12
8,8,941,12
13,13,587,4
6,6,17,13
8,8,139,24
11,11,6,30
7,7,36,9
11,11,66,20
5,5,36,6
13,13,19,4
13,13,8635721,35
8,8,428,18
15,15,5254,20
15,15,65014,33
11,11,454400,22
5,5,11,6
11,11,23,9
11,11,371520,27
13,13,321,18
5,5,4,7
7,7,176,30
15,15,23860071,4
10,10,1708,22
10,10,1679,12
8,8,0,0
9,9,19,22
7,7,36,16
9,9,30381,36
5,5,19,26
15,15,36,10
14,14,100547,30
9,9,374,12
8,8,3066,32
14,14,750426,30
12,12,3519864,34
15,15,83684396,47
9,9,6,22
8,8,72,13
14,14,756530,26
13,13,15312413,32
